houseId,houseNumber,streetName,postcode,city,ownerId
1,153,Karpenya,0591-2468,Buckland,35
2,108,Morkham,60913-018,Fuchūchō,49
3,23,Lile,69036-110,Grootfontein,10
4,155,Adelsberg,43063-537,Kampungbajo,29
5,122,Vaudrey,68094-757,Cherëmushki,46
6,26,Buckler,21695-738,Bulls,40
7,29,Tretwell,0228-1114,Ciomas,14
8,136,Quantick,58370-8001,Al Mawşil al Jadīdah,22
9,168,Coupar,60512-6507,Besuk Selatan,11
10,79,Klewer,0832-1081,Solnechnyy,38
11,40,Bradbeer,64942-1338,Candelaria,41
12,150,Hovert,10056-400,Owczarnia,36
13,51,Blenkiron,24623-044,Examília,1
14,176,Sempill,0268-6230,Mealhada,40
15,116,Pittel,51138-018,Whittier,8
16,111,Glison,55154-5038,Düsseldorf,21
17,98,Kleis,13668-034,Kisoro,11
18,77,Attenborrow,68026-341,Campaka,47
19,78,Gianullo,75990-7008,Heby,13
20,130,Bowmen,75981-069,Raci Kulon,46
21,81,Lemmer,54575-397,Andarapa,9
22,193,Lawson,61715-072,Lomba do Loução,28
23,160,Costanza,54868-4718,Jianping,40
24,51,Jursch,61543-7788,New Glasgow,37
25,51,Bengle,35356-372,Qianzhou,14
26,86,Bayley,41520-163,Brahin,38
27,110,Millichip,21695-423,Topeka,12
28,23,Ivashin,60793-105,Pomiechówek,12
29,3,Leschelle,76441-903,Santa Rita do Passa Quatro,23
30,41,Wherton,33992-4250,Néa Magnisía,6
31,47,Mc Meekan,11673-173,Mikstat,35
32,172,Tembridge,11523-0080,Yueyahe,20
33,36,Carbery,68151-3048,Strzelce,19
34,111,Dielhenn,60429-315,Huangbu,4
35,68,Wisson,55910-296,Al Qanāwiş,37
36,73,Sotheron,25021-669,Kuala Terengganu,37
37,72,Borthwick,63304-497,Tilang,16
38,174,Kleinfeld,52533-024,Luga,11
39,190,Petrovykh,66116-418,Priekulė,36
40,132,Dincke,68479-110,Ciego de Ávila,44
41,123,Espinet,0944-2620,Semampirbarat,20
42,55,Whitty,53808-0652,Burevestnik,21
43,67,Boyat,68016-135,Aucallama,24
44,192,Grelak,0338-1145,Herong,45
45,174,Sellner,65342-1377,Jiaxing,28
46,73,Hook,53014-975,Atarodangwautu,35
47,6,Tattoo,21695-869,São Pedro,12
48,145,Cauldwell,41163-344,Leština,11
49,193,Cheetam,60505-2657,Koungheul,38
50,50,Kershow,0338-0519,Itaguaí,6
51,54,Fancourt,31722-565,São Filipe,14
52,69,Albrighton,53217-004,Mališevo,26
53,30,Normavill,54868-4585,Caazapá,5
54,130,Guiett,53723-0001,Yunfeng,42
55,16,Clinkard,45963-811,Obala,15
56,67,Redhead,13537-320,München,22
57,53,Haker,0002-4115,Trois-Rivières,29
58,36,Scoines,49288-0018,Saaban,4
59,84,Dodge,33261-951,Santiago,20
60,108,Plimmer,43063-476,Chang’an,19
61,11,Haysman,64117-971,Jinzhuang,23
62,138,Filippo,47242-0051,Mbaïki,26
63,59,Rosenkrantz,50845-0019,Lazaro Cardenas,16
64,146,Rambadt,76468-121,Maroantsetra,41
65,179,Lideard,42254-117,Kinh Môn,2
66,7,Bruster,41190-124,Elato,18
67,3,McKoy,30142-476,Tomilino,1
68,19,Francescuccio,36987-1040,Khorol,26
69,92,Kinforth,43742-0086,Ryglice,39
70,154,Wilmot,54162-006,Vulcan,50
