houseNumber,streetName,postcode,city,ownerId
153,Karpenya,0591-2468,Buckland,35
108,Morkham,60913-018,Fuchūchō,49
23,Lile,69036-110,Grootfontein,10
155,Adelsberg,43063-537,Kampungbajo,29
122,Vaudrey,68094-757,Cherëmushki,46
26,Buckler,21695-738,Bulls,40
29,Tretwell,0228-1114,Ciomas,14
136,Quantick,58370-8001,Al Mawşil al Jadīdah,22
168,Coupar,60512-6507,Besuk Selatan,11
79,Klewer,0832-1081,Solnechnyy,38
40,Bradbeer,64942-1338,Candelaria,41
150,Hovert,10056-400,Owczarnia,36
51,Blenkiron,24623-044,Examília,1
176,Sempill,0268-6230,Mealhada,40
116,Pittel,51138-018,Whittier,8
111,Glison,55154-5038,Düsseldorf,21
98,Kleis,13668-034,Kisoro,11
77,Attenborrow,68026-341,Campaka,47
78,Gianullo,75990-7008,Heby,13
130,Bowmen,75981-069,Raci Kulon,46
81,Lemmer,54575-397,Andarapa,9
193,Lawson,61715-072,Lomba do Loução,28
160,Costanza,54868-4718,Jianping,40
51,Jursch,61543-7788,New Glasgow,37
51,Bengle,35356-372,Qianzhou,14
86,Bayley,41520-163,Brahin,38
110,Millichip,21695-423,Topeka,12
23,Ivashin,60793-105,Pomiechówek,12
3,Leschelle,76441-903,Santa Rita do Passa Quatro,23
41,Wherton,33992-4250,Néa Magnisía,6
47,Mc Meekan,11673-173,Mikstat,35
172,Tembridge,11523-0080,Yueyahe,20
36,Carbery,68151-3048,Strzelce,19
111,Dielhenn,60429-315,Huangbu,4
68,Wisson,55910-296,Al Qanāwiş,37
73,Sotheron,25021-669,Kuala Terengganu,37
72,Borthwick,63304-497,Tilang,16
174,Kleinfeld,52533-024,Luga,11
190,Petrovykh,66116-418,Priekulė,36
132,Dincke,68479-110,Ciego de Ávila,44
123,Espinet,0944-2620,Semampirbarat,20
55,Whitty,53808-0652,Burevestnik,21
67,Boyat,68016-135,Aucallama,24
192,Grelak,0338-1145,Herong,45
174,Sellner,65342-1377,Jiaxing,28
73,Hook,53014-975,Atarodangwautu,35
6,Tattoo,21695-869,São Pedro,12
145,Cauldwell,41163-344,Leština,11
193,Cheetam,60505-2657,Koungheul,38
50,Kershow,0338-0519,Itaguaí,6
54,Fancourt,31722-565,São Filipe,14
69,Albrighton,53217-004,Mališevo,26
30,Normavill,54868-4585,Caazapá,5
130,Guiett,53723-0001,Yunfeng,42
16,Clinkard,45963-811,Obala,15
67,Redhead,13537-320,München,22
53,Haker,0002-4115,Trois-Rivières,29
36,Scoines,49288-0018,Saaban,4
84,Dodge,33261-951,Santiago,20
108,Plimmer,43063-476,Changan,19
11,Haysman,64117-971,Jinzhuang,23
138,Filippo,47242-0051,Mbaïki,26
59,Rosenkrantz,50845-0019,Lazaro Cardenas,16
146,Rambadt,76468-121,Maroantsetra,41
179,Lideard,42254-117,Kinh Môn,2
7,Bruster,41190-124,Elato,18
3,McKoy,30142-476,Tomilino,1
19,Francescuccio,36987-1040,Khorol,26
92,Kinforth,43742-0086,Ryglice,39
154,Wilmot,54162-006,Vulcan,50
